vi	V(n003)	I(Rc)	I(Rb)
2.259999999999996e+00	6.799133e-01	4.949983e-03	1.580087e-05
2.269999999999996e+00	6.800891e-01	4.979396e-03	1.589911e-05
2.279999999999995e+00	6.802639e-01	5.008795e-03	1.599736e-05
2.289999999999995e+00	6.804378e-01	5.038182e-03	1.609562e-05
2.299999999999995e+00	6.806107e-01	5.067555e-03	1.619389e-05
2.309999999999995e+00	6.807826e-01	5.096916e-03	1.629217e-05
2.319999999999995e+00	6.809536e-01	5.126263e-03	1.639046e-05
2.329999999999994e+00	6.811237e-01	5.155597e-03	1.648876e-05
2.339999999999994e+00	6.812928e-01	5.184919e-03	1.658707e-05
2.349999999999994e+00	6.814610e-01	5.214226e-03	1.668539e-05
2.359999999999994e+00	6.816284e-01	5.243521e-03	1.678372e-05
2.369999999999993e+00	6.817948e-01	5.272802e-03	1.688205e-05
2.379999999999993e+00	6.819604e-01	5.302071e-03	1.698040e-05
2.389999999999993e+00	6.821251e-01	5.331326e-03	1.707875e-05
2.399999999999993e+00	6.822889e-01	5.360567e-03	1.717711e-05
2.409999999999993e+00	6.824519e-01	5.389796e-03	1.727548e-05
2.419999999999992e+00	6.826141e-01	5.419012e-03	1.737386e-05
2.429999999999992e+00	6.827754e-01	5.448213e-03	1.747225e-05
2.439999999999992e+00	6.829359e-01	5.477402e-03	1.757064e-05
2.449999999999992e+00	6.830955e-01	5.506577e-03	1.766904e-05
2.459999999999992e+00	6.832544e-01	5.535739e-03	1.776746e-05
2.469999999999991e+00	6.834125e-01	5.564888e-03	1.786588e-05
2.479999999999991e+00	6.835698e-01	5.594024e-03	1.796430e-05
2.489999999999991e+00	6.837263e-01	5.623146e-03	1.806274e-05
2.499999999999991e+00	6.838820e-01	5.652254e-03	1.816118e-05
2.509999999999990e+00	6.840370e-01	5.681350e-03	1.825963e-05
2.519999999999990e+00	6.841912e-01	5.710432e-03	1.835809e-05
2.529999999999990e+00	6.843447e-01	5.739500e-03	1.845655e-05
2.539999999999990e+00	6.844974e-01	5.768555e-03	1.855503e-05
2.549999999999990e+00	6.846494e-01	5.797597e-03	1.865351e-05
2.559999999999989e+00	6.848007e-01	5.826626e-03	1.875199e-05
2.569999999999989e+00	6.849512e-01	5.855640e-03	1.885049e-05
2.579999999999989e+00	6.851011e-01	5.884642e-03	1.894899e-05
2.589999999999989e+00	6.852502e-01	5.913630e-03	1.904750e-05
2.599999999999989e+00	6.853987e-01	5.942604e-03	1.914601e-05
2.609999999999988e+00	6.855465e-01	5.971565e-03	1.924453e-05
2.619999999999988e+00	6.856935e-01	6.000513e-03	1.934306e-05
2.629999999999988e+00	6.858400e-01	6.029447e-03	1.944160e-05
2.639999999999988e+00	6.859857e-01	6.058368e-03	1.954014e-05
2.649999999999987e+00	6.861307e-01	6.087275e-03	1.963869e-05
2.659999999999987e+00	6.862751e-01	6.116169e-03	1.973725e-05
2.669999999999987e+00	6.864189e-01	6.145049e-03	1.983581e-05
2.679999999999987e+00	6.865621e-01	6.173916e-03	1.993438e-05
2.689999999999987e+00	6.867045e-01	6.202769e-03	2.003295e-05
2.699999999999986e+00	6.868464e-01	6.231609e-03	2.013154e-05
2.709999999999986e+00	6.869876e-01	6.260436e-03	2.023012e-05
2.719999999999986e+00	6.871282e-01	6.289249e-03	2.032872e-05
