VDD	I(RB)
Step Information: V1=0  (Step: 1/6)
4.420000000000000e+00	-4.485727e-12
4.430000000000000e+00	-3.076478e-12
4.440000000000000e+00	-3.086477e-12
4.450000000000000e+00	-4.515727e-12
4.460000000000000e+00	-4.525727e-12
4.470000000000000e+00	-3.116478e-12
4.480000000000000e+00	-3.126478e-12
4.490000000000000e+00	-4.555727e-12
4.500000000000000e+00	-4.565727e-12
4.510000000000000e+00	-3.156477e-12
4.520000000000000e+00	-3.166477e-12
4.530000000000000e+00	-4.595727e-12
4.540000000000000e+00	-4.605727e-12
4.550000000000000e+00	-3.196478e-12
4.560000000000000e+00	-3.206478e-12
4.570000000000000e+00	-4.635727e-12
4.580000000000000e+00	-4.645727e-12
4.590000000000000e+00	-3.236477e-12
4.600000000000001e+00	-3.246478e-12
4.610000000000000e+00	-4.675727e-12
4.620000000000000e+00	-4.685727e-12
4.630000000000000e+00	-3.276478e-12
4.640000000000000e+00	-3.286477e-12
4.650000000000000e+00	-4.715727e-12
4.660000000000000e+00	-4.725727e-12
4.670000000000000e+00	-3.316478e-12
4.680000000000000e+00	-3.326478e-12
4.690000000000000e+00	-4.755727e-12
4.700000000000000e+00	-4.765727e-12
4.710000000000000e+00	-3.356477e-12
4.720000000000000e+00	-3.366477e-12
4.730000000000000e+00	-4.795727e-12
4.740000000000000e+00	-4.805727e-12
4.750000000000000e+00	-3.396478e-12
4.760000000000000e+00	-3.406478e-12
4.770000000000000e+00	-4.835727e-12
4.780000000000000e+00	-4.845727e-12
4.790000000000000e+00	-3.436477e-12
4.800000000000000e+00	-3.446477e-12
4.810000000000000e+00	-4.875727e-12
4.820000000000000e+00	-4.885727e-12
4.830000000000000e+00	-3.476478e-12
4.840000000000000e+00	-3.486477e-12
4.850000000000001e+00	-4.915727e-12
4.860000000000000e+00	-4.925727e-12
4.870000000000000e+00	-3.516477e-12
4.880000000000000e+00	-3.526478e-12
4.890000000000000e+00	-4.955727e-12
4.900000000000000e+00	-4.965727e-12
4.910000000000000e+00	-3.556477e-12
4.920000000000000e+00	-3.566477e-12
4.930000000000000e+00	-4.995727e-12
4.940000000000000e+00	-5.005727e-12
4.950000000000000e+00	-3.596477e-12
4.960000000000000e+00	-3.606478e-12
4.970000000000000e+00	-5.035727e-12
4.980000000000000e+00	-5.045727e-12
4.990000000000000e+00	-3.636477e-12
5.000000000000000e+00	-3.646478e-12
5.010000000000000e+00	-5.075727e-12
5.020000000000000e+00	-5.085727e-12
5.030000000000000e+00	-3.676478e-12
5.040000000000000e+00	-3.686477e-12
5.050000000000000e+00	-5.115727e-12
5.060000000000000e+00	-5.125727e-12
5.070000000000000e+00	-3.716477e-12
5.080000000000000e+00	-3.726477e-12
5.090000000000000e+00	-5.155727e-12
5.100000000000001e+00	-5.165727e-12
5.110000000000000e+00	-3.756477e-12
5.120000000000000e+00	-3.766478e-12
5.130000000000000e+00	-5.195727e-12
5.140000000000000e+00	-5.205727e-12
5.150000000000000e+00	-3.796477e-12
5.160000000000000e+00	-3.806477e-12
5.170000000000000e+00	-5.235727e-12
5.180000000000000e+00	-5.245727e-12
5.190000000000000e+00	-3.836478e-12
5.200000000000000e+00	-3.846477e-12
5.210000000000000e+00	-5.275727e-12
5.220000000000000e+00	-5.285727e-12
5.230000000000000e+00	-3.876477e-12
5.240000000000000e+00	-3.886478e-12
5.250000000000000e+00	-5.315727e-12
5.260000000000000e+00	-5.325727e-12
5.270000000000000e+00	-3.916477e-12
5.280000000000000e+00	-3.926477e-12
5.290000000000000e+00	-5.355727e-12
5.300000000000000e+00	-5.365727e-12
5.310000000000000e+00	-3.956478e-12
5.320000000000000e+00	-3.966477e-12
5.330000000000000e+00	-5.395727e-12
5.340000000000000e+00	-5.405727e-12
5.350000000000001e+00	-3.996477e-12
5.360000000000000e+00	-4.006477e-12
5.370000000000000e+00	-5.435727e-12
5.380000000000000e+00	-5.445727e-12
5.390000000000000e+00	-4.036477e-12
5.400000000000000e+00	-4.046478e-12
5.410000000000000e+00	-5.475727e-12
5.420000000000000e+00	-5.485726e-12
5.430000000000000e+00	-4.076477e-12
5.440000000000000e+00	-4.086477e-12
5.450000000000000e+00	-5.515727e-12
5.460000000000000e+00	-5.525727e-12
5.470000000000000e+00	-4.116477e-12
5.480000000000000e+00	-4.126477e-12
5.490000000000000e+00	-5.555726e-12
5.500000000000000e+00	-5.565727e-12
5.510000000000000e+00	-4.156477e-12
5.520000000000000e+00	-4.166477e-12
5.530000000000000e+00	-5.595727e-12
5.540000000000000e+00	-5.605727e-12
5.550000000000000e+00	-4.196477e-12
5.560000000000000e+00	-4.206477e-12
5.570000000000000e+00	-5.635727e-12
5.580000000000000e+00	-5.645727e-12
5.590000000000000e+00	-4.236477e-12
5.600000000000001e+00	-4.246477e-12
5.610000000000000e+00	-5.675727e-12
5.620000000000000e+00	-5.685727e-12
5.630000000000000e+00	-4.276477e-12
5.640000000000000e+00	-4.286477e-12
5.650000000000000e+00	-5.715727e-12
5.660000000000000e+00	-5.725727e-12
5.670000000000000e+00	-4.316477e-12
5.680000000000000e+00	-4.326477e-12
5.690000000000000e+00	-5.755727e-12
5.700000000000000e+00	-5.765726e-12
5.710000000000000e+00	-4.356477e-12
5.720000000000000e+00	-4.366477e-12
5.730000000000000e+00	-5.795727e-12
5.740000000000000e+00	-5.805727e-12
5.750000000000000e+00	-4.396477e-12
5.760000000000000e+00	-4.406477e-12
5.770000000000000e+00	-5.835726e-12
5.780000000000000e+00	-5.845727e-12
5.790000000000000e+00	-4.436477e-12
5.800000000000000e+00	-4.446477e-12
5.810000000000000e+00	-5.875727e-12
5.820000000000000e+00	-5.885726e-12
5.830000000000000e+00	-4.476477e-12
5.840000000000000e+00	-4.486477e-12
5.850000000000001e+00	-5.915727e-12
5.860000000000000e+00	-5.925726e-12
5.870000000000000e+00	-4.516477e-12
5.880000000000000e+00	-4.526477e-12
5.890000000000000e+00	-5.955726e-12
5.900000000000000e+00	-5.965727e-12
5.910000000000000e+00	-4.556477e-12
5.920000000000000e+00	-4.566477e-12
5.930000000000000e+00	-5.995726e-12
5.940000000000000e+00	-6.005727e-12
5.950000000000000e+00	-4.596477e-12
5.960000000000000e+00	-4.606477e-12
5.970000000000000e+00	-6.035727e-12
5.980000000000000e+00	-6.045726e-12
5.990000000000000e+00	-4.636477e-12
6.000000000000000e+00	-4.646477e-12
6.010000000000000e+00	-6.075727e-12
6.020000000000000e+00	-6.085727e-12
6.030000000000000e+00	-4.676477e-12
6.040000000000000e+00	-4.686477e-12
6.050000000000000e+00	-6.115726e-12
6.060000000000000e+00	-6.125727e-12
6.070000000000000e+00	-4.716477e-12
6.080000000000000e+00	-4.726477e-12
6.090000000000000e+00	-6.155727e-12
6.100000000000001e+00	-6.165726e-12
6.110000000000000e+00	-4.756477e-12
6.120000000000000e+00	-4.766477e-12
6.130000000000000e+00	-6.195727e-12
6.140000000000001e+00	-6.205726e-12
6.150000000000000e+00	-4.796477e-12
6.160000000000000e+00	-4.806477e-12
6.170000000000000e+00	-6.235726e-12
6.180000000000000e+00	-6.245727e-12
6.190000000000000e+00	-4.836477e-12
6.200000000000000e+00	-4.846477e-12
6.210000000000000e+00	-6.275726e-12
6.220000000000000e+00	-6.285726e-12
6.230000000000000e+00	-4.876477e-12
6.240000000000000e+00	-4.886477e-12
6.250000000000000e+00	-6.315727e-12
6.260000000000000e+00	-6.325726e-12
6.270000000000000e+00	-4.916477e-12
6.280000000000000e+00	-4.926477e-12
6.290000000000000e+00	-6.355726e-12
6.300000000000000e+00	-6.365727e-12
6.310000000000000e+00	-4.956477e-12
6.320000000000000e+00	-4.966477e-12
6.330000000000000e+00	-6.395726e-12
6.340000000000000e+00	-6.405727e-12
6.350000000000001e+00	-4.996477e-12
6.360000000000000e+00	-5.006477e-12
