V(CE_0)	I(C0)	V(CE_1)	I(C1)	V(CE2)	I(C2)	V(CE3)	I(C3)	V(CE4)	I(C4)	V(CE5)	I(C5)
1.37	1.459747E-12	1.164709	0.001026456	0.6355214	0.003672393	0.1888382	0.005905807	0.1339001	0.0061805	0.1165896	0.006267052
1.38	1.469935E-12	1.174676	0.00102662	0.6454036	0.003672982	0.1920312	0.005939841	0.1346459	0.006226771	0.1171039	0.006314481
1.39	6.060511E-14	1.184643	0.001026784	0.6552857	0.003673571	0.1954584	0.005972704	0.1353991	0.006273004	0.1176194	0.006361903
1.4	7.053182E-14	1.19461	0.001026949	0.6651679	0.00367416	0.1991493	0.006004249	0.1361599	0.0063192	0.1181362	0.006409319
1.41	1.499977E-12	1.204577	0.001027113	0.6750501	0.00367475	0.2031368	0.006034311	0.1369288	0.006365356	0.1186543	0.006456729
1.42	1.509903E-12	1.214545	0.001027277	0.6849322	0.003675339	0.2074577	0.006062712	0.1377059	0.00641147	0.1191738	0.006504131
1.43	1.005731E-13	1.224512	0.001027442	0.6948144	0.003675928	0.2121478	0.006089261	0.1384917	0.006457541	0.1196947	0.006551526
1.44	1.107611E-13	1.234479	0.001027606	0.7046965	0.003676517	0.2172463	0.006113769	0.1392867	0.006503566	0.1202172	0.006598914
1.45	1.539945E-12	1.244446	0.001027771	0.7145787	0.003677106	0.2227889	0.006136055	0.1400912	0.006549544	0.1207413	0.006646294
1.46	1.549871E-12	1.254413	0.001027935	0.7244609	0.003677696	0.2288051	0.006155975	0.1409056	0.006595472	0.121267	0.006693665
1.47	1.408024E-13	1.26438	0.001028099	0.7343431	0.003678285	0.2353128	0.006173436	0.1417305	0.006641347	0.1217945	0.006741027
1.48	1.507291E-13	1.274347	0.001028264	0.7442252	0.003678874	0.242315	0.006188425	0.1425662	0.006687169	0.1223239	0.006788381
1.49	1.579913E-12	1.284314	0.001028428	0.7541074	0.003679463	0.2497959	0.006201021	0.1434134	0.006732933	0.1228551	0.006835725
1.5	1.590101E-12	1.294281	0.001028592	0.7639896	0.003680052	0.2577205	0.006211394	0.1442725	0.006778637	0.1233883	0.006883058
1.51	1.807704E-13	1.304249	0.001028757	0.7738717	0.003680642	0.2660414	0.006219791	0.1451441	0.00682428	0.1239236	0.006930382
1.52	1.906971E-13	1.314216	0.001028921	0.7837539	0.003681231	0.2746994	0.006226501	0.1460289	0.006869856	0.124461	0.006977695
1.53	1.620142E-12	1.324183	0.001029085	0.793636	0.00368182	0.2836342	0.006231829	0.1469274	0.006915363	0.1250007	0.007024996
1.54	1.630069E-12	1.33415	0.00102925	0.8035182	0.003682409	0.2927886	0.006236057	0.1478404	0.006960798	0.1255427	0.007072287
1.55	2.207385E-13	1.344117	0.001029414	0.8134004	0.003682998	0.3021128	0.006239436	0.1487687	0.007006157	0.1260871	0.007119564
1.56	2.309264E-13	1.354084	0.001029579	0.8232825	0.003683587	0.3115651	0.006242174	0.1497129	0.007051435	0.126634	0.00716683
1.57	1.66011E-12	1.364051	0.001029743	0.8331647	0.003684177	0.3211129	0.006244435	0.150674	0.00709663	0.1271835	0.007214082
1.58	1.670037E-12	1.374019	0.001029907	0.8430468	0.003684766	0.3307306	0.006246347	0.1516528	0.007141736	0.1277357	0.007261321
1.59	2.609677E-13	1.383986	0.001030072	0.8529291	0.003685355	0.3403994	0.006248003	0.1526503	0.007186749	0.1282907	0.007308546
1.6	2.708944E-13	1.393953	0.001030236	0.8628112	0.003685944	0.3501051	0.006249475	0.1536675	0.007231663	0.1288486	0.007355757
1.61	1.699817E-12	1.40392	0.001030401	0.8726934	0.003686533	0.3598373	0.006250814	0.1547055	0.007276472	0.1294094	0.007402953
1.62	1.709743E-12	1.413887	0.001030565	0.8825755	0.003687122	0.3695887	0.006252057	0.1557656	0.007321172	0.1299734	0.007450133
1.63	3.006745E-13	1.423854	0.001030729	0.8924577	0.003687711	0.3793537	0.006253231	0.156849	0.007365755	0.1305406	0.007497297
1.64	3.106012E-13	1.433821	0.001030894	0.9023399	0.003688301	0.3891286	0.006254357	0.1579571	0.007410214	0.1311111	0.007544444
1.65	1.739785E-12	1.443788	0.001031058	0.912222	0.00368889	0.3989106	0.006255447	0.1590915	0.007454542	0.1316851	0.007591574
1.66	1.749973E-12	1.453755	0.001031222	0.9221042	0.003689479	0.4086976	0.006256512	0.1602537	0.007498731	0.1322626	0.007638687
1.67	3.406426E-13	1.463723	0.001031387	0.9319863	0.003690068	0.4184883	0.006257559	0.1614456	0.007542772	0.1328439	0.007685781
1.68	3.505692E-13	1.47369	0.001031551	0.9418685	0.003690657	0.4282815	0.006258592	0.1626691	0.007586654	0.1334289	0.007732855
1.69	1.780014E-12	1.483657	0.001031715	0.9517507	0.003691247	0.4380767	0.006259616	0.1639263	0.007630368	0.134018	0.00777991
1.7	1.789941E-12	1.493624	0.00103188	0.9616328	0.003691836	0.4478732	0.006260634	0.1652196	0.007673902	0.1346111	0.007826945
1.71	3.806106E-13	1.503591	0.001032044	0.971515	0.003692425	0.4576707	0.006261647	0.1665515	0.007717242	0.1352085	0.007873958
1.72	3.907985E-13	1.513558	0.001032209	0.9813972	0.003693014	0.4674688	0.006262656	0.1679248	0.007760376	0.1358102	0.007920949
1.73	1.819982E-12	1.523525	0.001032373	0.9912794	0.003693603	0.4772675	0.006263663	0.1693426	0.007803287	0.1364165	0.007967917
1.74	1.829909E-12	1.533493	0.001032537	1.001162	0.003694193	0.4870666	0.006264667	0.1708084	0.007845958	0.1370275	0.008014862
1.75	4.208398E-13	1.54346	0.001032702	1.011044	0.003694782	0.4968659	0.006265671	0.1723258	0.00788837	0.1376434	0.008061782
1.76	4.307665E-13	1.553427	0.001032866	1.020926	0.003695371	0.5066653	0.006266673	0.1738993	0.007930503	0.1382643	0.008108678
1.77	1.85995E-12	1.563394	0.00103303	1.030808	0.00369596	0.516465	0.006267675	0.1755334	0.007972333	0.1388905	0.008155547
1.78	1.870138E-12	1.573361	0.001033195	1.04069	0.003696549	0.5262647	0.006268676	0.1772335	0.008013832	0.1395221	0.00820239
1.79	4.608079E-13	1.583328	0.001033359	1.050572	0.003697138	0.5360646	0.006269677	0.1790054	0.008054973	0.1401592	0.008249204
1.8	4.707346E-13	1.593295	0.001033523	1.060454	0.003697727	0.5458644	0.006270678	0.1808558	0.008095721	0.1408022	0.008295989
1.81	1.900179E-12	1.603262	0.001033688	1.070337	0.003698317	0.5556643	0.006271678	0.1827923	0.008136038	0.1414512	0.008342744
1.82	1.910106E-12	1.61323	0.001033852	1.080219	0.003698906	0.5654643	0.006272679	0.1848232	0.008175883	0.1421065	0.008389467
1.83	5.007759E-13	1.623197	0.001034017	1.090101	0.003699495	0.5752642	0.006273679	0.1869584	0.008215208	0.1427682	0.008436159
1.84	5.109638E-13	1.633164	0.001034181	1.099983	0.003700084	0.5850642	0.006274679	0.1892087	0.008253955	0.1434366	0.008482817
1.85	1.940147E-12	1.643131	0.001034345	1.109865	0.003700673	0.5948641	0.006275679	0.1915867	0.008292065	0.144112	0.00852944
